sample_id,true_binary,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,cv_fold
pilot_112,0,39939,80,6,7.0,1684,14,10168,18,27,27,27,1195,1194,1190,31,32,1500,52,52,1500,634,3,4820,4,11264,68013,20,0,6,0,6,11584,8688,31232,122,0,0,0,0,1149,91,305,0,1156,69,271,2
pilot_113,0,16927,21,6,37.0,701,13,1054,15,24,24,24,94,84,93,31,32,106,52,52,106,190,3,266,3,59031,88757,39,0,0,0,0,11584,11584,48640,190,0,0,125,0,33,6,9,0,28,7,8,4
pilot_114,1,56428,162,17,14.0,136,2,0,0,0,0,0,0,0,0,254,254,68,68,0,68,0,0,0,0,1088000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pilot_115,1,20040,80,6,7.0,764,10,990,8,27,27,19,223,223,210,62,63,367,40,40,367,254,2,367,1,27285,35357,14,2,2,0,0,16383,16383,65024,254,0,0,0,0,96,24,34,0,156,30,54,4
pilot_116,0,27896,55608,6,36.0,2438,38,19138,40,27,27,27,10,10,10,31,32,1352,52,52,1352,595,7,9149,12,1773090,13918545,64,0,0,2,12,23168,14480,21248,83,0,0,0,0,2,0,0,0,2,0,0,1
pilot_117,0,58187,80,6,7.0,1684,14,10168,18,27,27,27,1131,1130,1131,31,32,1500,52,52,1500,634,3,4820,4,11901,71858,20,0,6,0,6,11584,8688,31232,122,0,0,0,0,1038,86,275,0,1039,66,243,5
pilot_118,1,34514,8744,6,7.0,1690,10,336,8,27,27,19,739,717,671,62,63,669,40,40,669,717,2,0,0,18270,3632,16,0,0,2,0,16383,16383,52480,205,0,0,0,0,445,79,137,0,431,95,147,2
pilot_119,1,55714,80,6,7.0,970,10,256,6,19,19,19,659,626,590,254,255,309,40,40,309,357,2,0,0,11757,3103,14,0,2,0,0,16383,16383,25856,101,0,0,0,0,318,69,101,0,485,117,187,3
pilot_120,1,20392,10,6,0.0,352,8,256,6,19,19,19,130,130,113,254,255,48,40,40,48,48,1,0,0,21496,15633,14,0,0,0,0,16383,16383,12288,48,0,0,0,0,61,18,25,0,108,22,42,4
pilot_121,1,20956,520,17,0.0,104,2,0,0,0,0,0,0,0,0,254,254,52,52,0,52,0,0,0,0,832000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
pilot_122,0,24699,59308,6,11.0,4472,18,2456,18,27,27,27,4,4,4,31,32,1128,52,52,1128,2132,7,1068,6,7155200,3929600,14,18,2,0,2,14480,14480,21504,84,0,0,0,0,1,0,0,0,1,0,0,2
pilot_123,0,63008,25,6,37.0,37322,52,3276,40,27,27,27,387,387,387,31,32,1500,52,52,1500,18245,18,958,7,769525,67546,64,2,2,0,24,15928,30408,17664,69,0,0,0,0,146,7,25,0,150,9,29,2
pilot_124,1,57737,67,17,18.0,1152,2,0,0,0,0,0,0,0,0,62,62,576,576,0,576,0,0,0,0,9216000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pilot_125,0,53596,30951,6,36.0,4342,74,66846,74,27,27,27,48,47,47,31,32,1378,52,52,1378,611,7,33003,29,708897,10913632,100,0,0,0,48,47784,14480,25344,99,0,0,0,0,3,0,0,0,2,0,0,2
pilot_126,1,40398,520,17,0.0,1064,2,0,0,0,0,0,0,0,0,254,254,532,532,0,532,0,0,0,0,8512000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
pilot_127,0,12431,10425,6,36.0,4862,84,78752,86,27,27,27,84,83,84,31,32,1352,52,52,1352,611,7,38956,35,457600,7411952,110,0,0,6,54,56472,14480,25344,99,0,0,0,0,6,0,1,0,5,0,1,2
pilot_128,0,35355,1878,6,36.0,2974,48,30516,50,27,27,27,17,17,17,31,32,1352,52,52,1352,603,7,14838,17,1321777,13562666,74,0,4,0,20,30408,14480,23296,91,0,0,0,0,3,0,0,0,2,0,0,2
pilot_129,1,263,29337,6,0.0,320,8,240,6,19,19,19,6258,4872,5370,254,255,40,40,40,40,40,1,0,0,409,306,14,0,0,0,0,16383,16383,10240,40,0,0,0,0,2672,695,985,0,2873,1074,1320,1
pilot_130,1,49344,8089,6,0.0,160,4,80,2,18,18,18,141,141,0,254,255,40,40,40,40,40,1,0,0,9014,4507,6,0,0,0,0,30150,46452,10240,40,0,0,0,0,141,47,66,0,0,0,0,1
pilot_131,0,36425,34031,17,11.0,528,4,304,4,0,0,0,1,1,0,31,32,148,52,52,148,0,0,0,0,2112000,1216000,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
pilot_132,1,19703,1478,17,0.0,170,2,0,0,0,0,0,0,0,0,254,254,85,85,0,85,0,0,0,0,1360000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
pilot_133,0,64243,21,6,37.0,261,5,469,7,24,24,24,78,67,77,31,32,89,52,52,89,74,1,89,1,26430,47493,23,0,0,0,0,8688,8688,18944,74,0,0,230,0,44,9,14,0,45,11,14,4
pilot_134,0,61193,23828,6,36.0,2334,36,17466,38,27,27,27,12,11,11,31,32,1352,52,52,1352,595,7,8313,11,1436307,10748307,62,0,0,0,12,21720,14480,21248,83,0,0,0,0,1,0,0,0,2,0,0,5
pilot_135,0,30340,25,6,3.0,37262,52,3380,42,27,27,27,43,43,43,31,32,1500,52,52,1500,18215,18,958,7,6774909,614545,66,2,2,0,24,15928,30408,9984,39,0,0,0,0,11,0,1,0,12,0,2,3
pilot_136,0,51560,21743,6,36.0,2126,32,12340,34,27,27,27,8,8,8,31,32,1352,52,52,1352,595,7,5750,9,1889777,10968888,58,0,0,0,8,18824,14480,21248,83,0,0,0,0,1,0,0,0,2,0,0,5
pilot_137,1,59573,179,6,13.0,135622,112,816,20,19,19,19,1626,1606,1534,254,255,1500,40,40,1500,67683,53,0,0,666856,4012,36,0,8,0,88,16383,16383,25345,99,0,0,0,0,218,14,45,0,362,80,99,1
pilot_138,0,7203,53,17,5.0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,65,81,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0,2
pilot_139,0,34332,80,6,7.0,17746,332,1087890,746,27,27,27,1572,1572,1572,31,32,1500,52,52,1500,345,2,543733,369,90253,5532816,338,0,20,0,720,65160,7240,22784,89,0,0,0,0,26,4,6,0,22,1,4,5
pilot_140,1,62803,520,17,0.0,64,2,0,0,0,0,0,0,0,0,254,254,32,32,0,32,0,0,0,0,512000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
pilot_141,1,52516,30101,6,0.0,264,6,0,0,2,2,0,13010,13010,0,254,255,44,44,0,44,0,0,0,0,162,0,6,0,0,0,0,26852,0,0,0,0,0,0,0,11835,2602,4638,0,0,0,0,2
pilot_142,1,62814,860,6,0.0,966,6,80,2,18,18,18,181,181,0,62,63,403,40,40,403,443,2,0,0,42461,3516,6,0,2,0,0,61744,24113,47872,187,0,0,0,0,160,36,62,0,0,0,0,4
pilot_143,0,57380,21,6,37.0,481,9,750,11,24,24,24,3,2,2,31,32,94,52,52,94,132,2,172,2,962000,1500000,31,0,0,0,0,10136,10136,33792,132,0,0,229,0,1,0,0,0,1,0,0,3
pilot_144,0,10435,22,6,92.0,3728,32,5474,24,27,27,27,152,152,152,31,32,900,52,52,900,1396,7,2421,6,194928,286222,42,4,4,6,0,14480,14480,29696,116,0,0,0,0,57,4,11,0,57,6,13,1
pilot_145,0,1567,25,6,3.0,37242,52,3380,42,27,27,27,245,244,244,31,32,1500,52,52,1500,18205,18,958,7,1211121,109918,66,2,2,0,24,15928,30408,7424,29,0,0,0,0,73,4,16,0,73,5,18,1
pilot_146,1,19741,25,6,3.0,19800,34,1904,22,19,19,19,858,858,852,254,255,1500,40,40,1500,9772,14,784,7,184400,17732,38,4,2,0,12,16383,16383,11264,44,0,0,0,0,136,25,42,0,117,40,44,3
pilot_147,1,61033,445,6,10.16,982,12,722,8,19,19,19,734,715,668,254,255,233,40,40,233,363,3,233,1,10688,7858,14,6,0,0,0,16383,16383,27392,107,0,0,0,0,216,64,84,0,366,95,133,5
pilot_148,0,61673,19150,17,11.0,544,4,304,4,0,0,0,2,1,1,31,32,156,52,52,156,0,0,0,0,1450666,810666,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5
pilot_149,1,5104,80,6,7.0,776,10,1258,8,27,27,19,224,223,203,62,63,501,40,40,501,260,2,501,1,27591,44728,14,2,2,0,0,16383,16383,1024,4,0,0,0,0,70,24,28,0,113,28,40,4
pilot_150,0,12187,21,6,37.0,2487,45,3496,50,25,25,25,3048,3048,3047,31,32,106,52,52,106,563,9,1124,13,6525,9172,106,0,0,0,0,26064,20272,13056,51,0,0,0,0,572,60,119,0,655,57,124,2
pilot_151,1,47501,80,6,7.0,878,10,1208,8,19,19,19,861,861,800,254,255,476,40,40,476,311,2,476,1,8148,11211,14,0,4,0,0,16383,16383,14080,55,0,0,0,0,376,95,135,0,579,114,197,4
pilot_152,1,53774,8089,6,0.0,160,4,80,2,18,18,18,363,363,0,254,255,40,40,40,40,40,1,0,0,3516,1758,6,0,0,0,0,39920,44709,10240,40,0,0,0,0,363,121,171,0,0,0,0,5
pilot_153,1,42720,445,6,10.16,1104,12,676,8,19,19,19,465,389,414,254,255,210,40,40,210,424,3,210,1,18952,11605,14,6,0,0,0,16383,16383,43008,168,0,0,0,0,156,35,49,0,166,59,69,2
pilot_154,1,51816,80,6,7.0,994,16,58718,50,27,27,19,388,388,379,62,63,1500,40,40,1500,249,2,29231,22,20442,1207568,22,2,4,0,38,16383,16383,63744,249,0,0,0,0,82,25,31,0,171,7,27,2
pilot_155,0,43516,143,6,37.0,7806,122,15160,126,27,27,27,38,37,37,31,32,1500,52,52,1500,2291,30,5912,31,1601230,3109743,222,18,4,2,2,50680,47784,62208,243,0,0,0,0,2,0,0,0,1,0,0,5
pilot_156,1,42628,80,6,7.0,786,10,1298,8,27,27,19,278,278,253,62,63,521,40,40,521,265,2,521,1,22537,37218,14,2,0,2,0,16383,16383,2304,9,0,0,0,0,110,30,38,0,180,36,60,5
pilot_157,0,43773,43471,17,11.0,544,4,304,4,0,0,0,1,1,0,31,32,156,52,52,156,0,0,0,0,2176000,1216000,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
pilot_158,0,62365,13531,6,0.0,424,8,8824,12,27,19,27,3,3,3,31,32,1500,52,52,1500,56,1,4252,3,848000,17648000,14,0,0,0,6,10136,5792,14336,56,0,0,0,0,2,0,0,0,1,0,0,2
pilot_159,1,27789,80,6,7.0,806,10,8644,12,27,27,19,1286,1285,1222,62,63,1500,40,40,1500,275,2,4194,3,5010,53731,14,2,0,0,6,16383,16383,4864,19,0,0,0,0,575,142,202,0,921,111,262,4
pilot_160,0,54977,25337,6,36.0,2230,34,14740,36,27,27,27,8,8,7,31,32,1352,52,52,1352,595,7,6950,10,1982222,13102222,58,2,0,0,10,20272,14480,21248,83,0,0,0,0,1,0,0,0,1,0,0,5
pilot_161,1,16294,8009,6,139.0,240,6,80,2,19,19,18,2469,2469,0,254,255,40,40,40,40,40,1,0,0,777,259,8,0,0,0,0,16383,16383,10240,40,0,0,0,0,1800,493,702,0,0,0,0,3
pilot_162,1,60016,80,6,7.0,45740,40,416,10,19,19,19,555,491,512,254,255,1500,40,40,1500,22742,17,0,0,658129,5985,18,0,2,0,30,16383,16383,54784,214,0,0,0,0,146,12,34,0,220,56,79,4
pilot_163,1,7891,520,17,0.0,104,2,0,0,0,0,0,0,0,0,254,254,52,52,0,52,0,0,0,0,832000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pilot_164,1,63236,502,6,44.0,5120,12,256,6,19,19,19,255,255,247,254,255,1500,40,40,1500,2432,3,0,0,160000,8000,14,0,0,2,2,16383,16383,32768,128,0,0,0,0,71,22,30,0,188,49,72,3
pilot_165,0,55313,5190,6,0.0,4908,34,2344,24,27,27,27,6,6,6,31,32,1264,52,52,1264,2038,9,804,5,5609142,2678857,52,0,4,0,2,13032,17376,62976,246,0,0,0,0,1,0,0,0,1,0,0,2
pilot_166,0,60206,53,17,5.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0,3
pilot_167,0,39106,7451,6,36.0,3614,60,47774,62,27,27,27,48,48,48,31,32,1352,52,52,1352,611,7,23467,23,590040,7799836,86,0,0,6,30,39096,14480,25344,99,0,0,0,0,5,0,1,0,5,0,1,3
pilot_168,1,35052,8089,6,0.0,160,4,80,2,18,18,18,570,570,0,254,255,40,40,40,40,40,1,0,0,2241,1120,6,0,0,0,0,33043,31993,10240,40,0,0,0,0,570,190,268,0,0,0,0,1
pilot_169,0,11088,5190,6,37.0,1958,22,2308,24,27,27,27,5,5,4,31,32,485,52,52,485,719,6,786,5,2610666,3077333,42,0,4,0,0,13032,13032,52992,207,0,0,0,0,1,0,0,0,1,0,0,5
pilot_170,0,33907,12499,6,36.0,3130,51,31208,46,27,27,27,93,93,92,31,32,1352,52,52,1352,603,7,15236,16,266382,2656000,75,0,0,0,22,36200,14480,23296,91,0,0,0,0,11,1,2,0,21,1,3,4
pilot_171,1,50696,8089,6,0.0,160,4,80,2,18,18,18,928,928,0,254,255,40,40,40,40,40,1,0,0,1377,688,6,0,0,0,0,27529,46198,10240,40,0,0,0,0,928,309,437,0,0,0,0,3
pilot_172,1,55685,80,6,7.0,802,10,928,8,27,27,19,240,240,218,62,63,336,40,40,336,273,2,336,1,26622,30804,14,2,2,0,0,16383,16383,4352,17,0,0,0,0,98,26,34,0,161,31,55,2
pilot_173,1,17898,80,6,7.0,774,10,908,8,27,27,19,232,232,218,62,63,326,40,40,326,259,2,326,1,26575,31175,14,2,2,0,0,16383,16383,768,3,0,0,0,0,100,25,35,0,160,31,55,1
pilot_174,1,29954,21,6,1.0,431,9,434,8,17,17,17,512,486,419,254,255,76,40,40,76,131,2,137,2,6721,6768,26,0,0,0,0,16383,16383,33536,131,0,0,0,0,562,89,151,0,490,102,146,3
pilot_175,0,8856,42580,6,36.0,2854,46,31538,48,27,27,27,32,31,31,31,32,1363,52,52,1363,595,7,15349,16,691878,7645575,72,0,0,0,22,28960,14480,21248,83,0,0,0,0,4,0,1,0,4,0,0,5
pilot_176,0,33163,28294,17,11.0,520,4,304,4,0,0,0,246,231,233,31,32,144,52,52,144,0,0,0,0,16842,9846,6,2,0,0,0,0,0,0,0,0,0,0,0,231,77,108,0,233,77,109,2
pilot_177,0,46473,50147,6,36.0,3614,60,46932,62,27,27,27,36,36,36,31,32,1352,52,52,1352,611,7,23046,23,781405,10147459,86,0,0,6,30,39096,14480,25344,99,0,0,0,0,4,0,0,0,4,0,0,2
pilot_178,1,36751,80,6,7.0,968,10,1734,8,19,19,19,950,950,842,254,255,739,40,40,739,356,2,739,1,8143,14586,14,0,2,2,0,16383,16383,25600,100,0,0,0,0,315,105,135,0,704,120,240,1
pilot_179,1,49392,1478,6,0.0,536,10,256,6,19,19,19,214,191,202,254,255,92,40,40,92,140,2,0,0,19944,9525,16,0,0,0,0,16383,16383,35840,140,0,0,0,0,66,21,28,0,166,40,64,1
pilot_180,1,58778,8443,6,91.0,1064,10,538,8,27,27,19,284,284,274,62,63,356,40,40,356,404,2,141,1,29866,15101,14,2,2,0,0,16383,16383,37888,148,0,0,0,0,110,31,38,0,161,39,55,2
pilot_181,0,54620,21,6,37.0,701,13,1054,15,24,24,24,4,4,4,31,32,106,52,52,106,190,3,266,3,1121600,1686400,39,0,0,0,0,11584,11584,48640,190,0,0,125,0,1,0,0,0,1,0,0,5
pilot_182,0,11576,80,6,7.0,1684,14,10168,18,27,27,27,1174,1173,1173,31,32,1500,52,52,1500,634,3,4820,4,11465,69228,20,0,6,0,6,11584,8688,31232,122,0,0,0,0,1022,90,271,0,1023,68,240,4
pilot_183,1,54490,179,6,13.0,892,16,544,10,19,19,19,660,638,617,254,255,85,40,40,85,318,5,144,2,10795,6583,26,0,0,0,0,16383,16383,15872,62,0,0,0,0,170,42,54,0,268,68,91,4
pilot_184,0,60717,58368,17,11.0,536,4,304,4,0,0,0,36,19,23,31,32,152,52,52,152,0,0,0,0,115891,65729,6,2,0,0,0,0,0,0,0,0,0,0,0,19,6,8,0,23,7,10,3
pilot_185,1,5256,445,6,41.0,3342,10,256,6,19,19,19,220,220,182,254,255,1495,40,40,1495,1543,2,0,0,120977,9266,14,0,0,0,2,16383,16383,1792,7,0,0,0,0,71,24,29,0,171,36,67,2
pilot_186,1,49074,25,6,3.0,2472,20,1662,20,19,19,19,1132,1132,1084,254,255,740,40,40,740,1108,7,703,7,17454,11735,36,2,0,2,0,16383,16383,21504,84,0,0,0,0,345,59,83,0,334,56,80,1
pilot_187,1,47118,80,6,7.0,770,10,1054,8,27,27,19,564,564,493,62,63,399,40,40,399,257,2,399,1,10902,14923,14,2,2,0,0,16383,16383,256,1,0,0,0,0,191,62,77,0,345,70,116,5
pilot_188,0,33906,13996,6,36.0,3614,60,50036,62,27,27,27,187,187,187,31,32,1352,52,52,1352,611,7,24598,23,153787,2129191,86,0,0,0,36,39096,14480,25344,99,0,0,0,0,12,2,3,0,12,2,3,5
pilot_189,1,29008,5060,17,100.0,1714,2,0,0,0,0,0,0,0,0,254,254,857,857,0,857,0,0,0,0,13712000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
pilot_190,0,39901,46053,6,36.0,3614,60,44406,62,27,27,27,37,37,37,31,32,1352,52,52,1352,611,7,21783,23,760842,9348631,86,0,6,0,30,39096,14480,25344,99,0,0,0,0,5,0,0,0,5,0,1,1
pilot_191,0,10017,36913,17,11.0,544,4,304,4,0,0,0,1,1,0,31,32,156,52,52,156,0,0,0,0,2176000,1216000,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
pilot_192,0,29402,54713,6,36.0,2334,36,16290,38,27,27,27,10,9,9,31,32,1352,52,52,1352,595,7,7725,11,1697454,11847272,62,0,2,0,10,21720,14480,21248,83,0,0,0,0,1,0,0,0,1,0,0,2
pilot_193,1,40393,179,6,13.0,982,10,256,6,19,19,19,521,434,471,254,255,315,40,40,315,363,2,0,0,15049,3923,14,0,2,0,0,16383,16383,27392,107,0,0,0,0,189,48,68,0,299,94,122,1
pilot_194,1,63592,139,6,10.0,3604,30,3294,30,19,19,19,4788,4788,4750,254,255,350,40,40,350,1594,10,1399,9,6020,5502,36,20,4,0,0,16383,16383,14848,58,0,0,0,0,930,164,247,0,1112,163,286,2
pilot_195,1,65020,179,6,13.0,778,14,884,16,19,19,19,879,879,812,254,255,85,40,40,85,261,4,274,4,7072,8036,30,0,0,0,0,16383,16383,1280,5,0,0,0,0,351,67,106,0,329,53,87,5
pilot_196,1,29736,520,17,32.0,104,2,0,0,0,0,0,0,0,0,254,254,52,52,0,52,0,0,0,0,832000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
pilot_197,1,14302,179,6,13.0,594,10,256,6,19,19,19,847,847,712,254,255,121,40,40,121,169,2,0,0,5603,2415,16,0,0,0,0,16383,16383,43264,169,0,0,0,0,283,94,113,0,653,142,256,5
pilot_198,1,24149,3306,6,20.0,596,10,634,10,19,19,19,600,600,510,254,255,122,40,40,122,170,2,189,2,7933,8439,20,0,0,0,0,16383,16383,43520,170,0,0,0,0,259,66,90,0,232,56,83,3
pilot_199,1,61591,80,6,7.0,770,10,7482,12,27,27,19,579,578,517,62,63,1500,40,40,1500,257,2,3613,3,10620,103200,14,2,0,2,4,16383,16383,256,1,0,0,0,0,156,64,72,0,335,46,98,5
pilot_200,0,47715,55351,6,36.0,2646,42,24694,44,27,27,27,24,24,24,31,32,1352,52,52,1352,595,7,11927,14,846720,7902080,68,0,0,2,16,26064,14480,21248,83,0,0,0,0,5,0,1,0,5,0,1,4
